05:00:00,23:00:00,20
0,0,0
1,0,0
2,0,0
3,1,1
4,0,1
5,0,1
6,1,2
7,0,2
8,0,2
9,1,3
10,1,4
11,1,5
12,0,5
13,1,6
14,0,6
15,1,7
16,1,8
17,0,8
18,0,8
19,1,9
20,0,9
21,1,10
22,0,10
23,1,11
24,0,11
25,1,12
26,1,13
27,0,13
28,1,14
29,0,14
30,0,14
31,1,15
32,0,15
33,1,16
34,0,16
35,1,17
36,0,17
37,0,17
38,1,18
39,0,18
40,0,18
41,1,19
42,0,19
43,1,20
44,0,20
45,0,20
46,1,21
47,0,21
48,1,22
49,0,22
50,1,23
51,0,23
52,1,24
53,0,24
54,0,24
55,0,24
56,1,25
57,0,25
58,0,25
59,1,26
60,0,26
61,1,27
62,1,28
63,1,29
64,0,29
65,1,30
66,0,30
67,1,31
68,1,32
69,1,33
70,1,34
71,1,35
72,1,36
73,0,36
74,1,37
75,0,37
76,1,38
77,0,38
78,1,39
79,0,39
80,1,40
81,1,41
82,1,42
83,0,42
84,1,43
85,0,43
86,0,43
87,1,44
88,0,44
89,0,44
90,1,45
