05:00:00,23:00:00,20
1,0,0
2,0,0
3,0,0
4,1,1
5,0,1
6,1,2
7,0,2
8,1,3
9,0,3
10,0,3
11,1,4
12,1,5
13,0,5
14,1,6
15,1,7
16,1,8
17,0,8
18,1,9
19,1,10
20,1,11
21,1,12
22,1,13
23,1,14
24,1,15
25,1,16
26,0,16
27,1,17
28,1,18
29,0,18
30,1,19
31,0,19
32,1,20
33,1,21
34,1,22
35,0,22
36,1,23
37,2,25
38,1,26
39,1,27
40,1,28
41,1,29
42,0,29
43,1,30
44,0,30
45,1,31
46,1,32
47,1,33
48,1,34
49,1,35
50,0,35
51,1,36
52,0,36
53,1,37
54,1,38
55,1,39
56,1,40
57,1,41
58,0,41
59,1,42
60,0,42
61,1,43
62,0,43
63,1,44
64,0,44
65,1,45
66,1,46
67,0,46
68,1,47
69,0,47
70,1,48
71,0,48
72,1,49
73,0,49
74,1,50
75,0,50
76,1,51
77,1,52
78,1,53
79,1,54
80,1,55
81,0,55
82,0,55
83,1,56
84,1,57
85,0,57
86,1,58
87,0,58
88,1,59
89,1,60
90,0,60
91,1,61
92,0,61
93,2,63
94,0,63
95,1,64
96,0,64
97,1,65
98,0,65
99,1,66
100,0,66
